City,Country,Region,Carrier company,Customer-Supplier company,Companies Traders,Cargo type,Paper specific,Delivery type
Enns,Austria,Europe,AMD,Adiprima,Sandra Sheimann,1.01 - Mixed paper and board,Wastepaper,NOR
Aalesund,Norway,Europe,APL,AKPOL,VIPA GREECE,1.02 - Mixed papers and board (sorted),Wastepaper,40'HC
Aarhus,Denmark,Europe,Arkas,AlterVita,Global Trading,1.03 - Grey board.,Wastepaper,40'DC
Aarhus,Denmark,Europe,ASECO SIA,BJC Cellox,VIPA GREECE,1.04 – OCC,Wastepaper,Truck
Aarhus,Denmark,Europe,Baltic Shipping,Bolton,VIPA UK,1.05 / #12 – OCC,Wastepaper,Rail
Ahrensburg,Germany,Europe,Baltic Trans Line,Buchmann,VIPA Switherland,1.06 - Unsold magazines,Wastepaper,45'
Alkmaar,Holland,Europe,BellaVita,Bumresurs,Global Trading,1.06.01 - Unsold magazines without glue,Wastepaper,
Alytus,Lithuania,Europe,BWD Traffic,CARAUSTAR,N/A,1.07 - Telephone Books,Wastepaper,
Alytus,Lithuania,Europe,BWD Traffic,THAI MILL,VIPA GREECE,1.08 - Mixed newspapers and magazines 50/50,Wastepaper,
Ambarli,Turkey,Europe,CARTRAG,CAS Paper,VIPA GREECE,"A mixture of newspapers and magazines, containing a minimum of 50% of newspapers, with or without glue.",Wastepaper,
Amsterdam,Holland,Asia,CF&S,Century,VIPA GREECE,1.09 - Mixed newspapers and magazines >60% NP,Wastepaper,
Anapa,Russia,Europe,CMA-CGM,CleanR Spilves,Edward Berjoza,"A mixture of newspapers and magazines, containing a minimum of 60% of newspapers, with or without glue.",Wastepaper,
Annweiler,Germany,Russia,CMA-CGM,CleanR Hoetika,Edward Berjoza,1.10 - Mixed magazines and newspapers >60% MG,Wastepaper,
Annweiler,Germany,Europe,Containerships,COMPRA,Łukasz Lutoborski,1.11- Sorted graphic paper for deinking / #7 ISRI,Wastepaper,
Antwerp,Belgium,Europe,Cosco,Corenso,Karolis Pupinis,2.01 - Newspapers / #8 - #9 ISRI,Wastepaper,
Antwerp,Belgium,Europe,Credo Trans,Corona,Global Trading,2.02 - Unsold newspapers,Wastepaper,
Arkhangelsk,Russia,Europe,Customs Logistics,CORRUGATOS,Juan Quintero,"2.02.01 - Unsold newspapers, no flexographic printing allowed",Wastepaper,
Asenovgrad,Bulgaria,Russia,DHL,CPM Trading SIA,Ivan Dotsenko,2.03 / ISRI #45 - Lightly printed white shavings,Wastepaper,
Ashdod,Israel,Europe,DHL LV,Cycle Link,VIPA GREECE,2.03.01 / ISRI #45 - Lightly printed white shavings without glue,Wastepaper,
Asuncion,Paraguay,Europe,DHL RU,Dinamo,Global Trading,2.04 / ISRI #46 - Heavily printed white shavings,Wastepaper,
Athens,Greece,Latam,DSV,DS Smith,VIPA UK,2.04.01 / ISRI #46 - Heavily printed white shavings without glue,Wastepaper,
Bandar Abbas,Iran,Greece,Egesten,Eco Baltija,Edward Berjoza,2.05 / #37 - Sorted office paper ISRI,Wastepaper,
Bangkok,Thailand,Asia,Evergreen,EcoComplex,Global Trading,2.06 - SBS / Coloured letters,Wastepaper,
Barcelona,Spain,Asia,Evergreen NOVO,Eko Iso,Edward Berjoza,2.07 - White woodfree books,Wastepaper,
Barranquilla,Colombia,Europe,Fercam,EcoBaltResurs,Global Trading,2.08 - Coloured woodfree magazines,Wastepaper,
Barszczówka,Poland,Latam,Fortuvia,Ecopress,Global Trading,2.11 - Other PE-coated board,Wastepaper,
Barszczówka,Poland,Europe,General SHipping,Ecoservice UAB,Karolis Pupinis,2.12 - Mechanical pulp based computer print-out,Wastepaper,
Bataysk,Russia,Europe,Globeway,EcoSistema,Global Trading,3.01 - Mixed lightly coloured printers shavings,Wastepaper,
Belgrade,Serbia,Russia,Globeway,Eesti Keskko,Edward Berjoza,3.02 - Mixed lightly coloured woodfree printer shavings,Wastepaper,
Bergen,Norway,Europe,GNS,Ekobaze SIA,Karolis Pupinis,3.03 - Woodfree binders,Wastepaper,
Bergen,Norway,Europe,Greencarrier,Ekobaze UAB,Karolis Pupinis,3.04 - Tear white shavings,Wastepaper,
Berlin,Germany,Europe,HÄUPL,Essity,Karolis Pupinis,3.05 - SWL / White woodfree letters,Wastepaper,
Binh Duong,Vietnam,Europe,Hamburg Sud,Galangal SIA,Edward Berjoza,3.06 - White business forms,Wastepaper,
Binh Duong,Vietnam,Asia,Hapag,General EM,VIPA ROTTERDAM,3.07 - White woodfree computer print-out,Wastepaper,
Bremen,Germany,Europe,HÄUPL,Globodera,VIPA GREECE,3.08 - Printed bleached sulphate board,Wastepaper,
Bremerhaven,Germany,Europe,HÄUPL,Gofre Baltija,Edward Berjoza,3.09 - Lightly printed bleached sulphate board,Wastepaper,
Brzeziny,Poland,Europe,ILLOGIC SIA,Granules,Karolis Pupinis,3.10 - Multi printing,Wastepaper,
Brzeziny,Poland,Europe,Intensivnik,Grigeo,Karolis Pupinis,3.11 - White heavily printed multiply board,Wastepaper,
Budapest,Hungary,Europe,Itella,Grigeo Grigiskes,Karolis Pupinis,3.12 - White lightly printed multiply board,Wastepaper,
Buenos Aires,Argentina,Europe,Keystone,GTsOO,Global Trading,3.13 - White unprinted multiply board,Wastepaper,
Burgas,Bulgaria,Latam,KoTrans,GVG,VIPA INDIA,3.14 - White newsprint,,
Busan,Korea,Europe,Kuehne+Nagel,HARIKRISHNA,VIPA INDIA,SS 304,Wastepaper,
Cai Mep,Vietnam,Asia,Kuehne+Nagel,Hermes Recycling PL,Nikolay Kudryashov,3.15 - White mechanical pulp based coated and uncoated paper,Wastepaper,
Callao,Peru,Asia,LKW,HUNG HA,VIPA GREECE,3.14 - White newsprint,Wastepaper,
Cartagena,Colombia,Latam,Maersk,IFCO,Nikolay Kudryashov,3.15 - White mechanical pulp based coated and uncoated paper,Wastepaper,
Cartagena,Colombia,Latam,Mann Lines,InterTrade,Global Trading,3.15.01 - White mechanical pulp based paper containing coated paper,Wastepaper,
Cartagena,Colombia,Latam,Maritina LV,IP Mazolevskaya,Global Trading,"3.16 - White woodfree coated paper, without glue",Wastepaper,
Cassino,Italy,Latam,Maritinia LT,ISTOK 52,Global Trading,3.17 - White shavings,Wastepaper,
Caucedo,Dominican Republic,Europe,MCT Shipping,Italmaceri,VIPA ITALY,3.18 - White woodfree shavings,Wastepaper,
Cesis,Latvia,Latam,Modul,Jordan Polymers,Edward Berjoza,3.18.01 - White woodfree uncoated shavings,Wastepaper,
Utzenstorf,Switzerland,Europe,,Juglas Papirs,Edward Berjoza,3.19 - Unprinted bleached sulphate board,Wastepaper,
Chiwan,China,Europe,Mohill,KartonSan,VIPA GREECE,4.01 - New shavings of corrugated board,Wastepaper,
CMP,China,Asia,MSC,Kristec,Karolis Pupinis,4.01.01- Unused corrugated kraft,Wastepaper,
Copenhagen,Denmark,Asia,MSC,Lautus,Edward Berjoza,4.01.02 - Unused corrugating material,Wastepaper,
Coronel,Chile,Europe,National Service,Lenzing,VIPA ROTTERDAM,4.02 - Used corrugated kraft I,Wastepaper,
Da Nang,Vietnam,Latam,National Service,LOBO,Łukasz Lutoborski,4.03 - Used corrugated kraft II,Wastepaper,
Dammam,Saudi Arabia,Asia,Navicon,LODGIANA,VIPA ITALY,4.04 - Used kraft sacks,Wastepaper,
Denmark,Denmark,Asia,Navicon,LOOBO,VIPA ITALY,4.04.01- Used kraft sacks with polycoated papers,Wastepaper,
Dmitrov,Russia,Europe,Neo-Logistic,MAD Recycling,Karolis Pupinis,4.05 - Unused kraft sacks,Wastepaper,
Doetinchem,Holland,Russia,Neo-Logistic,Mainetti,VIPA ROTTERDAM,4.05.01- Unused kraft sacks with polycoated papers,Wastepaper,
Eerbek,Holland,Europe,Neo-Logistic,MMK,Global Trading,4.06 - Used kraft,Wastepaper,
Drachten,Holland,Europe,Norlaima,MUDA,VIPA UK,4.07 - New kraft,Wastepaper,
Drammen,Norway,Europe,Novosealand,Aprel,Global Trading,4.08 - New carrier kraft,Wastepaper,
Drammen,Norway,Europe,OOCL,OÜ Vaitorg,Edward Berjoza,5.01 - Mixed recovered paper and board,Wastepaper,
Dublin,Ireland,Europe,Parus Logistics,PAPER EM,N/A,5.02 - Mixed packaging,Wastepaper,
Duenas,Spain,Europe,Parus Logistics,Paperinkerays,Karolis Pupinis,5.03 - Liquid board packaging,Wastepaper,
Düren,Germany,Europe,PL Trans,Parry,VIPA UK,5.04 - Wrapper kraft,Wastepaper,
Binh Duong,Vietnam,Europe,Railship,Pearce,VIPA UK,5.05 - Wet labels,Wastepaper,
